Male_ID,Group_ID,Collection_date,Hydroyear,T3_conc,GC_conc,Season,Rainfall,Tav,Group_size,Hierarchy_stability,T3_storage,GC_storage,Age,Alpha_status,Ordinal_rank,Consortships,Aggression,Genetic_ancestry,,,,,,,,,,,,
110,F,11/4/2004,2005,66.73,29.06,short rain,8.00,24.00,6,stable,16.73,0.78,12.11,non-alpha,6,0.00,-0.27,0.240,,,,,,,,,,,,
19,F,11/4/2004,2005,104.48,38.89,short rain,8.00,24.00,6,stable,16.73,0.78,8.23,non-alpha,3,34.00,-0.27,0.531,,,,,,,,,,,,
172,D,11/5/2004,2005,133.03,64.19,short rain,8.00,24.10,8,unstable,16.74,0.77,7.88,alpha,1,0.00,-0.33,0.517,,,,,,,,,,,,
116,D,11/5/2004,2005,77.25,27.78,short rain,8.00,24.10,8,unstable,16.72,0.77,7.95,non-alpha,2,0.00,-0.03,0.617,,,,,,,,,,,,
63,D,11/5/2004,2005,109.12,74.61,short rain,8.00,24.10,8,unstable,16.74,0.77,6.80,non-alpha,6,0.00,0.15,0.795,,,,,,,,,,,,
172,D,11/9/2004,2005,124.12,45.00,short rain,8.00,24.30,8,unstable,16.71,0.76,7.89,alpha,1,0.00,-0.33,0.517,,,,,,,,,,,,
63,D,11/9/2004,2005,125.99,34.41,short rain,8.00,24.30,8,unstable,16.71,0.76,6.81,non-alpha,6,0.00,0.15,0.795,,,,,,,,,,,,
120,K,12/1/2004,2005,155.44,36.37,short rain,11.00,25.40,4,unstable,16.65,0.71,17.93,non-alpha,3,37.00,-0.26,0.287,,,,,,,,,,,,
103,K,12/1/2004,2005,104.99,159.82,short rain,11.00,25.40,4,unstable,16.65,0.71,9.43,alpha,1,45.00,0.04,NA,,,,,,,,,,,,
100,A,12/3/2004,2005,191.93,35.94,short rain,11.00,25.40,11,stable,16.64,0.70,12.17,non-alpha,6,0.00,-0.24,0.312,,,,,,,,,,,,
19,F,12/3/2004,2005,169.86,34.83,short rain,11.00,25.40,7,unstable,16.64,0.70,8.31,non-alpha,3,10.00,0.05,0.531,,,,,,,,,,,,
57,N,12/4/2004,2005,162.79,93.09,short rain,14.00,25.40,12,unstable,16.64,0.70,7.57,non-alpha,3,29.00,1.08,0.707,,,,,,,,,,,,
116,D,12/6/2004,2005,164.94,36.46,short rain,21.00,25.30,7,stable,16.63,0.70,8.04,non-alpha,2,48.00,0.30,0.617,,,,,,,,,,,,
63,D,12/6/2004,2005,186.63,61.13,short rain,21.00,25.30,7,stable,16.63,0.70,6.88,non-alpha,6,0.00,0.60,0.795,,,,,,,,,,,,
199,D,12/6/2004,2005,126.05,79.74,short rain,21.00,25.30,7,stable,16.63,0.70,12.64,non-alpha,7,0.00,-0.30,NA,,,,,,,,,,,,
203,D,12/6/2004,2005,249.39,35.09,short rain,21.00,25.30,7,stable,16.63,0.70,10.29,non-alpha,4,42.00,0.00,NA,,,,,,,,,,,,
112,F,12/7/2004,2005,128.88,54.23,short rain,23.00,25.30,7,unstable,16.63,0.69,12.56,non-alpha,6,24.00,0.35,0.299,,,,,,,,,,,,
103,K,12/7/2004,2005,143.60,58.92,short rain,23.00,25.30,4,unstable,16.63,0.69,9.45,alpha,1,45.00,0.04,NA,,,,,,,,,,,,
92,F,12/7/2004,2005,105.50,42.31,short rain,23.00,25.30,7,unstable,16.65,0.69,15.46,non-alpha,7,13.00,-0.25,NA,,,,,,,,,,,,
13,D,12/8/2004,2005,1288.72,125.62,short rain,26.00,25.30,7,stable,16.65,0.69,9.78,non-alpha,5,7.00,0.00,0.287,,,,,,,,,,,,
116,D,12/8/2004,2005,98.97,39.00,short rain,26.00,25.30,7,stable,16.62,0.69,8.04,non-alpha,2,48.00,0.30,0.617,,,,,,,,,,,,
199,D,12/8/2004,2005,114.18,84.17,short rain,26.00,25.30,7,stable,16.62,0.73,12.64,non-alpha,7,0.00,-0.30,NA,,,,,,,,,,,,
203,D,12/8/2004,2005,124.61,37.62,short rain,26.00,25.30,7,stable,16.62,0.69,10.30,non-alpha,4,42.00,0.00,NA,,,,,,,,,,,,
13,D,1/3/2005,2005,155.83,67.00,short rain,75.00,24.60,7,unstable,16.54,0.66,9.85,non-alpha,5,15.00,-0.31,0.287,,,,,,,,,,,,
112,F,1/4/2005,2005,126.04,63.69,short rain,72.00,24.50,9,unstable,13.43,0.65,12.63,non-alpha,7,4.00,0.22,0.299,,,,,,,,,,,,
77,F,1/4/2005,2005,119.79,47.71,short rain,72.00,24.50,9,unstable,16.54,0.65,10.08,non-alpha,2,0.00,0.89,0.514,,,,,,,,,,,,
19,F,1/4/2005,2005,106.95,38.53,short rain,72.00,24.50,9,unstable,16.54,0.65,8.40,non-alpha,5,19.00,0.04,0.531,,,,,,,,,,,,
144,F,1/4/2005,2005,125.65,52.73,short rain,72.00,24.50,9,unstable,16.57,0.65,8.40,non-alpha,4,0.00,0.04,0.539,,,,,,,,,,,,
31,A,1/5/2005,2005,175.33,84.97,short rain,68.00,24.50,11,stable,16.54,0.65,12.54,non-alpha,10,0.00,-0.20,NA,,,,,,,,,,,,
138,A,1/5/2005,2005,78.92,21.31,short rain,68.00,24.50,11,stable,16.57,0.65,11.62,non-alpha,7,0.00,-0.20,NA,,,,,,,,,,,,
176,N,1/7/2005,2005,74.75,38.91,short rain,63.00,24.50,12,unstable,13.42,0.65,13.07,non-alpha,6,0.00,-0.22,0.275,,,,,,,,,,,,
115,N,1/7/2005,2005,106.96,39.82,short rain,63.00,24.50,12,unstable,13.42,0.65,7.39,non-alpha,8,0.00,-0.22,0.275,,,,,,,,,,,,
95,N,1/7/2005,2005,194.56,85.97,short rain,63.00,24.50,12,unstable,16.56,0.65,15.18,non-alpha,10,0.00,-0.22,0.277,,,,,,,,,,,,
174,N,1/7/2005,2005,72.25,49.58,short rain,63.00,24.50,12,unstable,13.42,0.65,9.36,non-alpha,4,9.00,0.08,0.445,,,,,,,,,,,,
29,N,1/7/2005,2005,176.47,51.58,short rain,63.00,24.50,12,unstable,16.53,0.65,16.27,non-alpha,12,2.00,-0.22,NA,,,,,,,,,,,,
53,A,1/8/2005,2005,106.21,25.49,short rain,53.00,24.60,11,stable,16.53,0.65,15.46,non-alpha,3,0.00,-0.20,NA,,,,,,,,,,,,
112,F,1/10/2005,2005,185.54,70.42,short rain,49.00,24.50,9,unstable,13.41,0.64,12.65,non-alpha,7,4.00,0.22,0.299,,,,,,,,,,,,
77,F,1/10/2005,2005,112.64,34.42,short rain,49.00,24.50,9,unstable,16.52,0.64,10.10,non-alpha,2,0.00,0.89,0.514,,,,,,,,,,,,
10,N,1/11/2005,2005,173.08,48.36,short rain,31.00,24.50,12,unstable,16.52,0.64,16.46,non-alpha,11,3.00,-0.22,0.593,,,,,,,,,,,,
120,K,1/12/2005,2005,228.64,85.98,short rain,31.00,24.60,5,unstable,16.52,0.64,18.04,non-alpha,3,0.00,-0.27,0.287,,,,,,,,,,,,
116,D,1/12/2005,2005,73.71,43.72,short rain,31.00,24.60,7,unstable,13.41,0.64,8.14,non-alpha,2,0.00,-0.31,0.617,,,,,,,,,,,,
203,D,1/12/2005,2005,115.12,40.33,short rain,31.00,24.60,7,unstable,16.52,0.65,10.39,non-alpha,4,25.00,-0.31,NA,,,,,,,,,,,,
92,F,1/13/2005,2005,87.90,54.52,short rain,31.00,24.60,9,unstable,16.55,0.64,15.56,non-alpha,8,0.00,0.04,NA,,,,,,,,,,,,
203,D,1/14/2005,2005,163.12,38.63,short rain,31.00,24.70,7,unstable,16.51,0.64,10.40,non-alpha,4,25.00,-0.31,NA,,,,,,,,,,,,
10,N,1/17/2005,2005,102.70,56.34,short rain,31.00,24.60,12,unstable,16.50,0.63,16.47,non-alpha,11,3.00,-0.22,0.593,,,,,,,,,,,,
182,F,1/18/2005,2005,76.16,50.43,short rain,31.00,24.60,9,unstable,13.39,0.63,8.73,alpha,1,45.00,0.04,NA,,,,,,,,,,,,
92,F,1/18/2005,2005,73.02,66.82,short rain,31.00,24.60,9,unstable,16.50,0.63,15.58,non-alpha,8,0.00,0.04,NA,,,,,,,,,,,,
116,D,1/19/2005,2005,107.34,85.58,short rain,31.00,24.50,7,unstable,13.39,0.63,8.16,non-alpha,2,0.00,-0.31,0.617,,,,,,,,,,,,
60,A,1/20/2005,2005,84.20,58.20,short rain,31.00,24.50,11,stable,16.49,0.62,9.15,non-alpha,2,52.00,0.65,NA,,,,,,,,,,,,
174,N,1/21/2005,2005,243.18,61.78,short rain,31.00,24.40,12,unstable,13.38,0.62,9.40,non-alpha,4,9.00,0.08,0.445,,,,,,,,,,,,
77,F,1/25/2005,2005,77.81,28.06,short rain,31.00,24.30,9,unstable,16.48,0.61,10.14,non-alpha,2,0.00,0.89,0.514,,,,,,,,,,,,
108,N,1/26/2005,2005,150.81,32.41,short rain,31.00,24.30,12,unstable,13.37,0.61,7.66,non-alpha,9,0.00,-0.22,0.305,,,,,,,,,,,,
53,A,1/27/2005,2005,171.51,27.86,short rain,32.00,24.40,11,stable,16.47,0.61,15.52,non-alpha,3,0.00,-0.20,NA,,,,,,,,,,,,
203,D,1/28/2005,2005,174.58,22.90,short rain,33.00,24.50,7,unstable,16.47,0.61,10.44,non-alpha,4,25.00,-0.31,NA,,,,,,,,,,,,
172,D,2/7/2005,2005,99.58,55.57,short dry,17.00,24.80,5,unstable,13.34,0.58,8.14,alpha,1,39.00,-0.25,0.517,,,,,,,,,,,,
116,D,2/7/2005,2005,95.44,53.49,short dry,17.00,24.80,5,unstable,13.34,0.58,8.21,non-alpha,2,0.00,0.05,0.617,,,,,,,,,,,,
63,D,2/7/2005,2005,117.98,84.22,short dry,17.00,24.80,5,unstable,13.34,0.58,7.05,non-alpha,5,0.00,-0.35,0.795,,,,,,,,,,,,
152,K,2/8/2005,2005,50.37,19.07,short dry,17.00,24.80,6,unstable,13.33,0.57,16.40,non-alpha,5,22.00,-0.24,NA,,,,,,,,,,,,
51,N,2/10/2005,2005,65.35,13.47,short dry,17.00,24.70,13,stable,13.40,0.57,10.42,non-alpha,5,11.00,0.72,NA,,,,,,,,,,,,
172,D,2/11/2005,2005,149.75,75.96,short dry,17.00,24.60,5,unstable,13.35,0.56,8.15,alpha,1,39.00,-0.25,0.517,,,,,,,,,,,,
174,N,2/12/2005,2005,66.61,21.49,short dry,17.00,24.70,13,stable,13.33,0.56,9.46,non-alpha,4,0.00,0.07,0.445,,,,,,,,,,,,
152,K,2/14/2005,2005,56.54,44.75,short dry,17.00,24.70,6,unstable,13.34,0.56,16.42,non-alpha,5,22.00,-0.24,NA,,,,,,,,,,,,
95,N,2/15/2005,2005,67.06,49.47,short dry,17.00,24.80,13,stable,16.42,0.56,15.28,non-alpha,9,0.00,-0.23,0.277,,,,,,,,,,,,
174,N,2/15/2005,2005,91.69,24.38,short dry,17.00,24.80,13,stable,16.42,0.56,9.47,non-alpha,4,0.00,0.07,0.445,,,,,,,,,,,,
116,D,2/15/2005,2005,132.59,54.83,short dry,17.00,24.80,5,unstable,15.01,0.56,8.23,non-alpha,2,0.00,0.05,0.617,,,,,,,,,,,,
77,F,2/16/2005,2005,74.00,38.60,short dry,17.00,24.80,10,unstable,16.42,0.55,10.20,non-alpha,2,41.00,0.09,0.514,,,,,,,,,,,,
144,F,2/16/2005,2005,60.67,30.79,short dry,17.00,24.80,10,unstable,16.42,0.55,8.52,non-alpha,3,32.00,0.27,0.539,,,,,,,,,,,,
199,F,2/16/2005,2005,52.03,41.63,short dry,17.00,24.80,10,unstable,16.42,0.55,12.83,non-alpha,9,0.00,-0.21,NA,,,,,,,,,,,,
51,N,2/17/2005,2005,87.55,39.74,short dry,17.00,24.80,13,stable,16.42,0.55,10.44,non-alpha,5,11.00,0.72,NA,,,,,,,,,,,,
92,F,2/18/2005,2005,55.26,51.96,short dry,17.00,24.90,10,unstable,16.41,0.55,15.66,non-alpha,8,0.00,-0.21,NA,,,,,,,,,,,,
199,F,2/22/2005,2005,487.05,42.50,short dry,17.00,25.00,10,unstable,16.40,0.54,12.85,non-alpha,9,0.00,-0.21,NA,,,,,,,,,,,,
116,D,2/24/2005,2005,82.58,55.00,short dry,17.00,25.00,5,unstable,13.29,0.53,8.25,non-alpha,2,0.00,0.05,0.617,,,,,,,,,,,,
57,N,2/24/2005,2005,72.95,60.37,short dry,17.00,25.00,13,stable,13.29,0.53,7.80,non-alpha,2,17.00,0.67,0.707,,,,,,,,,,,,
69,K,2/25/2005,2005,431.08,64.23,short dry,17.00,25.10,6,unstable,16.39,0.53,15.15,non-alpha,6,0.00,-0.24,NA,,,,,,,,,,,,
147,A,2/26/2005,2005,125.07,46.17,short dry,15.00,25.10,10,stable,16.39,0.53,13.38,alpha,1,0.00,0.51,NA,,,,,,,,,,,,
103,K,3/5/2005,2005,70.15,88.14,long rain,41.00,25.60,8,stable,16.37,0.51,9.69,alpha,1,31.00,0.34,NA,,,,,,,,,,,,
176,N,3/7/2005,2005,117.96,47.50,long rain,41.00,25.80,13,stable,16.37,0.50,13.24,non-alpha,6,0.00,-0.22,0.275,,,,,,,,,,,,
51,N,3/7/2005,2005,165.18,84.36,long rain,41.00,25.80,13,stable,16.37,0.50,10.49,non-alpha,5,0.00,0.26,NA,,,,,,,,,,,,
103,K,3/8/2005,2005,81.98,78.09,long rain,41.00,25.90,8,stable,16.36,0.50,9.70,alpha,1,31.00,0.34,NA,,,,,,,,,,,,
92,F,3/9/2005,2005,59.35,99.41,long rain,41.00,25.90,9,stable,16.40,0.50,15.71,non-alpha,7,0.00,-0.26,NA,,,,,,,,,,,,
85,F,3/9/2005,2005,133.43,153.99,long rain,41.00,25.90,9,stable,16.40,0.50,14.29,non-alpha,4,0.00,0.22,NA,,,,,,,,,,,,
182,F,3/9/2005,2005,97.30,90.60,long rain,41.00,25.90,9,stable,13.55,0.50,8.86,alpha,1,18.00,0.34,NA,,,,,,,,,,,,
177,N,3/12/2005,2005,98.92,87.52,long rain,41.00,26.00,13,stable,14.16,0.49,8.08,non-alpha,3,0.00,0.26,0.508,,,,,,,,,,,,
29,N,3/12/2005,2005,136.37,51.46,long rain,41.00,26.00,13,stable,16.35,0.49,16.44,non-alpha,12,0.00,-0.22,NA,,,,,,,,,,,,
172,D,3/14/2005,2005,95.77,65.25,long rain,41.00,25.90,4,unstable,13.25,0.48,8.23,alpha,1,100.00,0.26,0.517,,,,,,,,,,,,
77,F,3/15/2005,2005,75.98,23.55,long rain,41.00,25.90,9,stable,16.35,0.48,10.28,non-alpha,2,6.00,0.59,0.514,,,,,,,,,,,,
152,K,3/16/2005,2005,139.56,101.39,long rain,41.00,26.00,8,stable,13.25,0.48,16.50,non-alpha,5,0.00,-0.26,NA,,,,,,,,,,,,
112,F,3/18/2005,2005,76.92,72.78,long rain,41.00,26.10,9,stable,13.24,0.47,12.83,non-alpha,6,17.00,-0.26,0.299,,,,,,,,,,,,
94,N,3/18/2005,2005,90.29,42.19,long rain,41.00,26.10,13,stable,16.34,0.47,9.83,alpha,1,0.00,0.26,NA,,,,,,,,,,,,
77,F,3/22/2005,2005,95.59,34.81,long rain,56.00,26.30,9,stable,16.33,0.46,10.30,non-alpha,2,6.00,0.59,0.514,,,,,,,,,,,,
92,F,3/22/2005,2005,72.39,33.69,long rain,56.00,26.30,9,stable,16.36,0.47,15.75,non-alpha,7,0.00,-0.26,NA,,,,,,,,,,,,
89,K,3/23/2005,2005,89.55,53.13,long rain,56.00,26.10,8,stable,16.32,0.46,11.97,non-alpha,2,24.00,-0.26,0.302,,,,,,,,,,,,
144,F,3/25/2005,2005,153.81,50.73,long rain,112.00,26.30,9,stable,16.32,0.45,8.62,non-alpha,3,52.00,0.22,0.539,,,,,,,,,,,,
116,D,3/25/2005,2005,103.24,60.80,long rain,112.00,26.30,4,unstable,13.22,0.45,8.33,non-alpha,2,0.00,-0.34,0.617,,,,,,,,,,,,
92,F,3/25/2005,2005,88.52,43.33,long rain,112.00,26.30,9,stable,16.32,0.45,15.76,non-alpha,7,0.00,-0.26,NA,,,,,,,,,,,,
31,A,4/4/2005,2005,119.20,20.48,long rain,75.00,25.50,10,stable,16.29,0.43,12.78,non-alpha,8,23.00,-0.19,NA,,,,,,,,,,,,
163,K,4/11/2005,2005,77.69,115.31,long rain,113.00,25.20,12,stable,16.27,0.41,16.82,non-alpha,9,0.00,-0.23,NA,,,,,,,,,,,,
19,K,4/16/2005,2005,133.51,54.59,long rain,158.00,25.10,12,stable,16.26,0.67,8.68,non-alpha,3,23.00,0.08,0.531,,,,,,,,,,,,
10,N,4/18/2005,2005,202.36,59.68,long rain,163.00,24.90,14,stable,16.25,0.39,16.72,non-alpha,10,0.00,0.31,0.593,,,,,,,,,,,,
110,A,5/4/2005,2005,56.85,51.79,long rain,92.00,24.40,10,stable,13.12,0.37,12.61,non-alpha,10,0.00,-0.20,0.240,,,,,,,,,,,,
158,A,5/7/2005,2005,58.98,35.01,long rain,91.00,24.10,10,stable,16.20,0.61,12.56,non-alpha,5,13.00,0.10,0.368,,,,,,,,,,,,
31,A,5/7/2005,2005,133.94,80.14,long rain,91.00,24.10,10,stable,16.20,0.61,12.87,non-alpha,8,19.00,-0.20,NA,,,,,,,,,,,,
60,A,5/10/2005,2005,98.86,70.23,long rain,54.00,24.40,10,stable,16.19,0.61,9.45,non-alpha,2,0.00,0.65,NA,,,,,,,,,,,,
203,D,5/12/2005,2005,194.43,66.88,long rain,54.00,24.40,4,unstable,16.19,0.61,10.72,non-alpha,3,52.00,-0.29,NA,,,,,,,,,,,,
120,K,5/13/2005,2005,95.34,39.45,long rain,17.00,24.40,12,unstable,16.18,0.61,18.38,non-alpha,4,0.00,-0.27,0.287,,,,,,,,,,,,
172,D,5/14/2005,2005,90.15,58.66,long rain,14.00,24.40,4,unstable,13.09,0.60,8.40,non-alpha,2,0.00,-0.29,0.517,,,,,,,,,,,,
203,D,5/14/2005,2005,162.39,28.39,long rain,14.00,24.40,4,unstable,16.18,0.60,10.73,non-alpha,3,52.00,-0.29,NA,,,,,,,,,,,,
116,D,6/6/2005,2005,84.71,38.81,long dry,26.00,24.50,4,unstable,14.41,0.79,8.53,non-alpha,2,17.00,0.51,0.617,,,,,,,,,,,,
152,K,6/9/2005,2005,55.34,58.49,long dry,26.00,24.30,11,unstable,13.02,0.78,16.73,non-alpha,7,0.00,-0.30,NA,,,,,,,,,,,,
69,K,6/18/2005,2005,62.90,73.30,long dry,22.00,23.60,11,unstable,16.08,0.84,15.45,non-alpha,6,19.00,0.01,NA,,,,,,,,,,,,
95,N,6/28/2005,2005,90.22,47.82,long dry,10.00,22.40,14,stable,16.06,0.81,15.65,non-alpha,12,0.00,-0.26,0.277,,,,,,,,,,,,
120,K,7/1/2005,2005,103.14,77.99,long dry,4.00,22.20,13,stable,16.05,0.81,18.51,non-alpha,7,11.00,-0.32,0.287,,,,,,,,,,,,
176,N,7/5/2005,2005,130.27,44.80,long dry,1.00,21.80,14,stable,16.04,0.80,13.56,non-alpha,9,0.00,0.04,0.275,,,,,,,,,,,,
108,D,7/5/2005,2005,68.35,69.94,long dry,1.00,21.80,5,unstable,12.95,0.80,8.10,alpha,1,36.00,1.14,0.305,,,,,,,,,,,,
116,D,7/5/2005,2005,81.47,40.73,long dry,1.00,21.80,5,unstable,12.95,0.80,8.61,non-alpha,2,0.00,0.48,0.617,,,,,,,,,,,,
94,N,7/5/2005,2005,105.61,59.78,long dry,1.00,21.80,14,stable,16.04,0.80,10.13,alpha,1,12.00,0.44,NA,,,,,,,,,,,,
128,F,7/6/2005,2005,171.12,45.10,long dry,1.00,21.70,8,unstable,12.94,0.80,7.69,non-alpha,7,0.00,-0.32,0.302,,,,,,,,,,,,
147,A,7/7/2005,2005,107.31,37.16,long dry,1.00,21.60,11,unstable,16.03,0.80,13.73,alpha,1,0.00,-0.26,NA,,,,,,,,,,,,
120,K,7/9/2005,2005,110.25,59.42,long dry,1.00,21.40,13,stable,16.03,0.79,18.53,non-alpha,7,11.00,-0.32,0.287,,,,,,,,,,,,
94,N,7/9/2005,2005,99.89,72.50,long dry,1.00,21.40,14,stable,16.03,0.79,10.14,alpha,1,12.00,0.44,NA,,,,,,,,,,,,
120,K,7/13/2005,2005,101.32,56.80,long dry,1.00,21.10,13,stable,16.02,0.78,18.54,non-alpha,7,11.00,-0.32,0.287,,,,,,,,,,,,
120,K,7/15/2005,2005,105.83,59.95,long dry,1.00,21.00,13,stable,16.01,0.78,18.55,non-alpha,7,11.00,-0.32,0.287,,,,,,,,,,,,
89,K,7/22/2005,2005,98.17,83.02,long dry,1.00,20.50,13,stable,15.99,0.76,12.30,non-alpha,4,0.00,0.28,0.302,,,,,,,,,,,,
184,K,7/22/2005,2005,126.59,82.36,long dry,1.00,20.50,13,stable,12.98,0.76,7.64,non-alpha,8,0.00,-0.32,0.311,,,,,,,,,,,,
19,K,7/22/2005,2005,162.74,52.57,long dry,1.00,20.50,13,stable,16.03,0.76,8.94,non-alpha,2,9.00,0.58,0.531,,,,,,,,,,,,
203,D,7/22/2005,2005,221.08,48.53,long dry,1.00,20.50,5,unstable,15.99,0.76,10.92,non-alpha,3,40.00,0.11,NA,,,,,,,,,,,,
152,K,7/22/2005,2005,159.51,48.73,long dry,1.00,20.50,13,stable,12.98,0.76,16.85,non-alpha,10,0.00,-0.32,NA,,,,,,,,,,,,
164,K,7/22/2005,2005,99.56,63.09,long dry,1.00,20.50,13,stable,16.03,0.76,8.16,non-alpha,3,1.00,1.08,NA,,,,,,,,,,,,
182,F,7/23/2005,2005,32.55,26.72,long dry,1.00,20.50,8,unstable,12.93,0.76,9.24,non-alpha,2,0.00,-0.32,NA,,,,,,,,,,,,
138,A,7/23/2005,2005,40.46,22.37,long dry,1.00,20.50,11,unstable,16.02,0.76,12.16,non-alpha,5,0.00,-0.26,NA,,,,,,,,,,,,
203,D,7/24/2005,2005,128.66,76.83,long dry,0.00,20.50,5,unstable,15.98,0.76,10.92,non-alpha,3,40.00,0.11,NA,,,,,,,,,,,,
10,N,7/28/2005,2005,115.44,88.07,long dry,0.00,20.60,14,stable,15.97,0.75,17.00,non-alpha,11,0.00,-0.26,0.593,,,,,,,,,,,,
19,K,7/29/2005,2005,136.28,39.43,long dry,1.00,20.60,13,stable,15.97,0.74,8.96,non-alpha,2,9.00,0.58,0.531,,,,,,,,,,,,
103,K,7/29/2005,2005,67.14,49.73,long dry,1.00,20.60,13,stable,15.97,0.74,10.09,alpha,1,17.00,0.38,NA,,,,,,,,,,,,
144,F,8/6/2005,2005,115.38,66.38,long dry,1.00,20.50,7,stable,15.95,0.72,8.98,non-alpha,3,0.00,-0.29,0.539,,,,,,,,,,,,
182,F,8/8/2005,2005,101.39,59.05,long dry,1.00,20.50,7,stable,14.53,0.72,9.28,non-alpha,2,0.00,-0.29,NA,,,,,,,,,,,,
123,D,8/9/2005,2005,103.61,68.67,long dry,1.00,20.50,5,unstable,12.93,0.71,7.93,non-alpha,4,0.00,0.16,0.476,,,,,,,,,,,,
203,D,8/9/2005,2005,129.38,181.69,long dry,1.00,20.50,5,unstable,15.94,0.77,10.96,non-alpha,3,34.00,-0.32,NA,,,,,,,,,,,,
3,K,8/11/2005,2005,102.90,40.33,long dry,1.00,20.60,12,unstable,15.93,0.71,10.64,non-alpha,7,0.00,-0.33,0.421,,,,,,,,,,,,
13,N,8/19/2005,2005,130.71,148.65,long dry,1.00,21.10,14,unstable,15.91,0.74,10.48,non-alpha,10,10.00,0.03,0.287,,,,,,,,,,,,
177,N,8/19/2005,2005,59.65,72.28,long dry,1.00,21.10,14,unstable,12.91,0.69,8.52,non-alpha,3,0.00,0.43,0.508,,,,,,,,,,,,
10,N,8/19/2005,2005,158.05,56.15,long dry,1.00,21.10,14,unstable,15.91,0.69,17.06,non-alpha,11,0.00,0.51,0.593,,,,,,,,,,,,
182,F,8/20/2005,2005,40.26,52.19,long dry,1.00,21.10,7,stable,12.90,0.68,9.31,non-alpha,2,0.00,-0.29,NA,,,,,,,,,,,,
29,N,8/23/2005,2005,124.10,136.73,long dry,1.00,21.20,14,unstable,15.90,0.73,16.89,non-alpha,14,0.00,-0.27,NA,,,,,,,,,,,,
203,D,8/24/2005,2005,167.37,135.65,long dry,1.00,21.20,5,unstable,15.90,0.73,11.01,non-alpha,3,34.00,-0.32,NA,,,,,,,,,,,,
110,A,8/25/2005,2005,175.83,65.30,long dry,1.00,21.20,13,unstable,14.16,0.67,12.92,non-alpha,11,0.00,-0.24,0.240,,,,,,,,,,,,
158,A,9/5/2005,2005,139.78,64.51,long dry,0.00,21.70,11,unstable,15.87,0.64,12.90,non-alpha,5,0.00,0.35,0.368,,,,,,,,,,,,
95,N,9/8/2005,2005,94.62,199.86,long dry,0.00,22.10,15,unstable,15.86,0.69,15.85,non-alpha,12,0.00,-0.25,0.277,,,,,,,,,,,,
128,F,9/12/2005,2005,59.35,63.08,long dry,0.00,22.30,7,unstable,12.84,0.62,7.88,non-alpha,6,0.00,-0.30,0.302,,,,,,,,,,,,
139,K,9/12/2005,2005,124.30,46.59,long dry,0.00,22.30,10,unstable,15.88,0.62,14.24,non-alpha,3,0.00,-0.01,0.325,,,,,,,,,,,,
182,F,9/12/2005,2005,40.23,62.73,long dry,0.00,22.30,7,unstable,12.84,0.62,9.38,non-alpha,2,35.00,0.00,NA,,,,,,,,,,,,
13,N,9/15/2005,2005,139.70,51.22,long dry,0.00,22.40,15,unstable,15.84,0.62,10.55,non-alpha,10,0.00,-0.25,0.287,,,,,,,,,,,,
63,N,9/15/2005,2005,59.04,88.13,long dry,0.00,22.40,15,unstable,12.83,0.62,7.66,non-alpha,7,5.00,0.65,0.795,,,,,,,,,,,,
92,D,9/15/2005,2005,66.35,51.73,long dry,0.00,22.40,6,unstable,15.84,0.62,16.23,non-alpha,6,0.00,-0.34,NA,,,,,,,,,,,,
89,K,9/17/2005,2005,72.01,30.82,long dry,0.00,22.40,10,unstable,15.87,0.61,12.46,non-alpha,4,0.00,-0.01,0.302,,,,,,,,,,,,
19,K,9/22/2005,2005,100.50,56.46,long dry,0.00,22.50,10,unstable,15.82,0.60,9.11,alpha,1,0.00,0.54,0.531,,,,,,,,,,,,
203,D,9/26/2005,2005,115.17,65.38,long dry,0.00,22.40,6,unstable,15.81,0.59,11.10,non-alpha,4,67.00,-0.34,NA,,,,,,,,,,,,
13,N,9/28/2005,2005,138.13,49.41,long dry,0.00,22.50,15,unstable,15.80,0.58,10.59,non-alpha,10,0.00,-0.25,0.287,,,,,,,,,,,,
116,D,10/3/2005,2005,180.05,59.44,long dry,0.00,22.70,6,stable,14.05,0.57,8.86,non-alpha,3,0.00,-0.32,0.617,,,,,,,,,,,,
158,A,10/7/2005,2005,201.28,80.66,long dry,0.00,22.80,11,unstable,15.82,0.56,12.98,non-alpha,6,9.00,-0.27,0.368,,,,,,,,,,,,
134,A,10/7/2005,2005,155.37,86.86,long dry,0.00,22.80,11,unstable,15.78,0.56,10.92,non-alpha,7,0.00,-0.27,NA,,,,,,,,,,,,
123,D,12/5/2005,2006,73.08,47.26,short rain,30.00,24.20,7,unstable,12.53,0.42,8.25,non-alpha,5,0.00,-0.03,0.476,,,,,,,,,,,,
116,D,12/5/2005,2006,107.46,46.84,short rain,30.00,24.20,7,unstable,14.20,0.42,9.03,non-alpha,4,31.00,0.27,0.617,,,,,,,,,,,,
203,D,12/5/2005,2006,82.75,55.41,short rain,30.00,24.20,7,unstable,15.62,0.42,11.29,non-alpha,6,17.00,-0.33,NA,,,,,,,,,,,,
63,N,12/6/2005,2006,64.18,64.16,short rain,30.00,24.20,14,stable,14.20,0.42,7.88,non-alpha,6,0.00,0.06,0.795,,,,,,,,,,,,
93,K,12/7/2005,2006,79.60,64.12,short rain,30.00,24.10,8,unstable,15.61,0.42,15.54,non-alpha,6,0.00,-0.32,0.645,,,,,,,,,,,,
